 Name :    Kor,    Eng,   Math,    Sci,     Sum,     Avg
----------------------------------------------------
  Lee :     80,     90,     95,     90,     355,   88.75 
  Kim :     85,     75,     70,     95,     325,   81.25 
 Park :     70,     80,     90,     85,     325,   81.25 
 Yoon :     80,     85,     90,     85,     340,   85.00 
 Hong :     75,     85,     85,     80,     325,   81.25 
 Shin :     75,     92,     93,     95,     355,   88.75 
 Choi :     98,     98,     94,     87,     377,   94.25 
   Oh :     76,     79,     87,     74,     316,   79.00 
  Min :     81,     88,     99,     84,     352,   88.00 
  Jin :     74,     99,     83,     93,     349,   87.25 
